Boleracea_gene,NCBI_gene
Bo5g133100,106293555
Bo5g152570,106293556
Bo5g010480,106293560
Bo1g057530,106293562
Bo5g014980,106293563
Bo5g122860,106293564
Bo5g065860,106293565
Bo5g124890,106293566
Bo5g076250,106293568
Bo5g143670,106293569
Bo5g037440,106293571
Bo5g098520,106293572
Bo1g105480,106293574
Bo5g003600,106293575
Bo5g144890,106293577
Bo5g126430,106293578
Bo5g002400,106293579
Bo5g049210,106293580
Bo5g034780,106293581
Bo5g148770,106293583
Bo5g017320,106293584
Bo1g053710,106293585
Bo5g008270,106293586
Bo5g055860,106293588
Bo5g114060,106293590
Bo5g143140,106293593
Bo5g034460,106293594
Bo5g145010,106293595
Bo5g003340,106293598
Bo5g077650,106293599
Bo5g010650,106293600
Bo5g108580,106293603
Bo5g061090,106293604
Bo7g031450,106293605
Bo5g098290,106293607
Bo5g048450,106293608
Bo5g122830,106293609
Bo5g019850,106293610
Bo1g008780,106293611
Bo5g008150,106293612
Bo5g018180,106293614
Bo5g049360,106293616
Bo5g123240,106293617
Bo5g017370,106293618
Bo1g139700,106293620
Bo5g057060,106293622
Bo5g148550,106293623
Bo5g043600,106293625
Bo5g007840,106293626
Bo5g039070,106293627
Bo5g145490,106293628
Bo5g152860,106293629
Bo5g130500,106293631
Bo1g038880,106293632
Bo5g080020,106293633
Bo5g027790,106293634
Bo5g139820,106293635
Bo5g127360,106293637
Bo5g007310,106293638
Bo5g139830,106293639
Bo1g082420,106293640
Bo5g043280,106293641
Bo5g126890,106293642
Bo5g045230,106293643
Bo1g037090,106293644
Bo5g027230,106293647
Bo5g027220,106293648
Bo5g130350,106293649
Bo5g155030,106293653
Bo5g146940,106293655
Bo5g022290,106293656
Bo5g086690,106293661
Bo5g101190,106293662
Bo5g144950,106293663
Bo5g115440,106293666
Bo5g009000,106293668
Bo5g114030,106293669
Bo5g003500,106293670
Bo5g022070,106293671
Bo5g143540,106293672
Bo5g126570,106293674
Bo5g008280,106293676
Bo5g023790,106293677
Bo5g139420,106293678
Bo5g086630,106293681
Bo5g047310,106293682
Bo5g133230,106293684
Bo5g002480,106293686
Bo5g129100,106293690
Bo5g118490,106293692
Bo1g138380,106293693
Bo5g017580,106293695
Bo5g029100,106293696
Bo5g072590,106293699
Bo5g010470,106293701
Bo1g014860,106293702
Bo5g117410,106293703
Bo5g016660,106293704
Bo5g061050,106293706
Bo5g052240,106293707
Bo1g050830,106293711
Bo5g134640,106293713
Bo5g016960,106293714
Bo5g003980,106293715
Bo5g150170,106293716
Bo5g134660,106293718
Bo5g005690,106293719
Bo1g061640,106293722
Bo5g098770,106293723
Bo5g151480,106293724
Bo5g022320,106293727
Bo5g065570,106293729
Bo1g136170,106293730
Bo5g082610,106293732
Bo5g065950,106293733
Bo1g094500,106293734
Bo5g007990,106293735
Bo5g063080,106293736
Bo5g132960,106293737
Bo5g133340,106293739
Bo5g016800,106293740
Bo5g017560,106293743
Bo5g055840,106293745
Bo5g007380,106293747
Bo5g016910,106293750
Bo5g148540,106293752
Bo5g136760,106293753
Bo5g021230,106293757
Bo5g003570,106293758
Bo5g008730,106293759
Bo5g006840,106293760
Bo5g006920,106293761
Bo5g121490,106293764
Bo5g127650,106293766
Bo5g144940,106293767
Bo5g004970,106293768
Bo5g030180,106293770
Bo5g042890,106293771
Bo5g136820,106293772
Bo5g062250,106293773
Bo1g090330,106293774
Bo5g038550,106293778
Bo5g132560,106293779
Bo5g155040,106293780
Bo5g037460,106293781
Bo5g017310,106293786
Bo5g098530,106293788
Bo5g076460,106293789
Bo1g147760,106293791
Bo5g148050,106293793
Bo5g035160,106293794
Bo5g004740,106293797
Bo5g123190,106293799
Bo5g003180,106293801
Bo5g072560,106293805
Bo5g153890,106293806
Bo5g146790,106293807
Bo5g064380,106293808
Bo5g145190,106293809
Bo5g016670,106293811
Bo5g015170,106293813
Bo5g054710,106293814
Bo5g129010,106293815
Bo5g144770,106293816
Bo1g119030,106293817
Bo5g017230,106293818
Bo5g071240,106293819
Bo5g009790,106293820
Bo5g098570,106293821
Bo5g060920,106293822
Bo5g098580,106293823
Bo5g035190,106293824
Bo5g093490,106293825
Bo5g004100,106293826
Bo5g148440,106293827
Bo5g010010,106293832
Bo1g144480,106293835
Bo5g141480,106293836
Bo5g094510,106293837
Bo5g018160,106293838
Bo5g043760,106293839
Bo5g017420,106293841
Bo5g113820,106293842
Bo5g038560,106293843
Bo1g123620,106293844
Bo1g118850,106293845
Bo5g142970,106293846
Bo5g045030,106293847
Bo5g150350,106293849
Bo5g039260,106293851
Bo5g062280,106293853
